Id,I_COL_01,I_COL_02,I_COL_03,I_COL_04,I_COL_05,I_COL_06,I_COL_07,I_COL_08,I_COL_09,I_COL_10,S_COL_01,S_COL_02,S_COL_03,S_COL_04,S_COL_05,S_COL_06,S_COL_07,S_COL_08,S_COL_09,S_COL_10,D_COL_01,D_COL_02,D_COL_03,D_COL_04,D_COL_05,D_COL_06,D_COL_07,D_COL_08,D_COL_09,D_COL_10,G_COL_01,G_COL_02,G_COL_03,G_COL_04,G_COL_05,G_COL_06,G_COL_07,G_COL_08,G_COL_09,G_COL_10
1,1547934156,1372427337,1421445790,1189290774,1813691330,489526179,1425797977,1452639364,1921344542,1666790861,KIFZ2JSG2U5T85N34Y9,ZLSWNXAFYIPISPGRP5OBY,M7Z9L6BH2R7U7XCOVRAELQK,GMP3V7EXOGZYY,WBX1U4J4M,TY6V6WJTEUWNHT37TRM07,,J2S5V7SCM2NP02J,EUYAXQI17ZN9Z,6OMDDO8GCTBOGNG0HJM,1974-06-20 00:00:00,1988-03-15 00:00:00,1980-09-15 00:00:00,1968-05-11 00:00:00,1973-06-06 00:00:00,1966-03-29 00:00:00,2011-05-05 00:00:00,1990-04-13 00:00:00,1985-04-22 00:00:00,2015-08-07 00:00:00,{662CCE2E-921E-4CCC-81D7-6F5A601A2D3E},{A9FABE52-433A-4792-BC68-E6B3ED2C4472},{E45953A9-1F8A-4AB2-B311-DF4368394254},{CBDD3DB5-FAA6-4906-9C43-3B3383563CC1},{F74FCC6E-735F-429F-859C-E81910B00FAF},{64B365B0-DDB6-4E14-9A76-D10016FB7CA5},{DE52ED1B-9C89-4472-9DFC-515A19B31F5E},{9443100B-EC27-4401-8633-5A2E18F4C229},{263D22F8-D848-4A26-A9F7-AAFABE847F8A},{D4DBC72F-3F29-4EBB-B46C-9C679A368283}
2,370091302,832363211,1096084907,1988194690,1590133140,,609634554,1994321104,887833700,,5LAKLV4QA8LJ17J8NI3EZO,G06OYAHTRS5XF,RXM72P,M08DGYPFQXUDUZQ,111IBV27GMQMR5AWITYZ7B5B,AVMR1HU7BX2JK,FAL9391T,G1CBZ6Z5XVH,VJ1T4M48IUT2BTCTPI,FVPS6L1CNXS8UL0ZBP7GWN,1973-07-08 00:00:00,1975-08-02 00:00:00,1982-01-29 00:00:00,1981-02-06 00:00:00,,1969-03-15 00:00:00,1990-06-25 00:00:00,2007-09-25 00:00:00,1997-04-25 00:00:00,1994-08-21 00:00:00,{5944F7BD-4E53-424D-86E4-037899A08716},{A43B23E5-3689-4817-9E69-6A3E1FCCA557},{13EA7F8E-2C62-4333-970F-0F7D37B78E95},{4D62806F-09B5-4535-8F54-8FD15825E0E7},{3B7E5E46-78D5-4829-8C16-7969C2EBE28C},{557175DE-B45D-439F-9064-B868EB869C74},{20D46BC1-551D-4FB2-AFB6-702BF461CAA7},{1D8E2F48-496C-4DAB-AA8C-031B6920EFEE},{5F1A8291-0991-4D9C-B6ED-D60D1A53547C},{C3FA2BB0-C6AE-403A-9CF9-619145FA4186}
3,651045406,545164220,1436459285,,1372214812,808031855,55293813,361746534,1813590168,1600597301,1PV42MG7B8UJ5GCJQ1LX,5IMTE,N7BRYI5KO9LACVX2GFJE,BPIS1TMSIHLG,T1G8G9,9WHOHPGO40H95WJGRM76,Y67VJO8,ULJPVKML7M4MU8YG6SAR3CF,7LRVF1QT3WYWHY6EA9U51D,PN683ERGHT,2014-10-05 00:00:00,2000-11-16 00:00:00,1992-03-26 00:00:00,2005-11-18 00:00:00,1979-08-14 00:00:00,1991-05-03 00:00:00,2007-04-19 00:00:00,1980-11-20 00:00:00,,1993-04-12 00:00:00,{DA2C33A4-D3AC-49C4-99DC-E5CC58E60028},{4C0F8304-C348-4BB9-B7D6-DE959FCEF6F3},{EBC274A0-31E7-441D-AFAD-9D1A3920CCDE},{035997BF-C41A-48FC-88CD-88B3C05C4FDD},,{1DCD2D5A-F17D-421B-9EB7-2DAAEF7C8E4E},,{8A40E741-2449-482C-A2D8-97DB6A09054D},{3A2AED46-8E88-4850-9F7E-14969710364A},{3A45C1F9-108C-4293-B2A2-CC609BFCE6A9}
4,299470444,,1437752496,,548932929,,20454878,2029301353,1280985841,1922901964,4RLPVB,,YT8Y6DCGREA3GDR3,GR27JE3XINZ6OJGMV1,V4IO22XIXN3,MHL20,4J4ZRUZ1X4S0TIDLJOFRR,,UE5BB4U4QQRLAT7HC5U25C,J5CNV2MIJ9FNZYZ2KXKD,2003-04-12 00:00:00,2000-04-05 00:00:00,2012-10-11 00:00:00,1994-08-01 00:00:00,1971-11-03 00:00:00,1988-08-13 00:00:00,1966-11-05 00:00:00,1970-02-05 00:00:00,1971-04-27 00:00:00,1998-08-09 00:00:00,{FC722AC4-663F-44A0-A9FE-E2D36FBC2857},{31B5072B-060E-4CD6-8B58-C0ABE64C6788},{69B69EC4-58FA-4627-90DE-A1EACBC16843},{6415C2D6-B312-4C82-95B7-E90612A6E88F},{104690C0-AE1B-435A-93EB-623D0BE36573},{6AA7E8B7-D457-4A9B-BC0C-5BB40E08341A},,{DB15963C-5259-4B57-947E-D936E77615D7},{C7CAB5D2-8E50-449B-9E8D-FEE1C439548D},{1DA02964-7BE2-480A-BBD8-0D46B881D5D3}
5,452083929,2036012265,1087030221,797970703,1425451855,1581930365,,2144976087,637123397,,BDOV9RZLL6PBPJY2,,JVOJVL,8A0J6S,,2G8U2ICAIMK8O,GTW8W43KVP1LUXSS4SJ9SFR,MIM8CDT22DM5,T96MEB7,,2000-09-21 00:00:00,1986-11-14 00:00:00,1969-05-17 00:00:00,1985-01-15 00:00:00,1964-10-16 00:00:00,1994-04-26 00:00:00,1994-09-30 00:00:00,1979-05-16 00:00:00,1979-08-06 00:00:00,,{C3015CDA-EF8D-4173-B6DA-9E2DDCA7E2E6},{C0BCD189-2CE5-4776-B8CB-F8CDFC5F5CDB},{0F3571C3-ED67-41D2-9DCE-BCCD8994C8F9},{7955A6F4-A136-4512-A9E3-DCE792913C58},{7A87E458-AC19-45D5-8C1A-B11EBD36A5A5},{1E1A723D-B668-43E2-800E-F40A297196E0},,{399CD98A-679B-4DBD-A0DD-87C4F530C04A},,{DB68209D-380E-428F-A540-415A8D0E3FA2}
6,785042040,930245835,1864889233,326540039,1451526347,,798867645,640991721,90333461,2036048391,,24P03TGJAPI3HYZFQ04G6,8OR56FV1SB8UVADBC9MX,U4VA5MHXO6F,MMYJEPX01IEEFM,GUA3W3WJ5JIU4XCPTT0Z,IHLV3VR609S6HMFI3SZ,4HD5DGZUVW9N,2RBAB29TIB7,KLZI98MOAHZZO2LENST,1962-11-17 00:00:00,2001-11-24 00:00:00,1989-07-14 00:00:00,1997-03-11 00:00:00,,2014-09-23 00:00:00,2013-06-01 00:00:00,1988-04-20 00:00:00,,2009-12-31 00:00:00,{DF98328C-6B5F-4955-9553-DC14996B5310},{1724652C-6BF3-4ED7-A70C-BFECF8E22739},,{1BCBB7B6-7DAA-48E9-9632-ACCA76AE64CF},{99C0E3D4-F2F8-4D61-B7CB-6CEF79FCE11C},{19E6A250-811F-4D45-A404-B0747B8711ED},{665D88A4-5A17-43F7-B7B2-511AE8EE3D15},{C0CA8E21-9807-4BCE-B84D-337E0F1D18F4},,{0EBEC934-2394-4019-BD94-5E169400B18B}
7,1376894750,1816563343,864310349,1459271764,1232806593,1528692107,673127662,239047981,328984306,142819795,CI9SEUDVQQHB,4ETT73RY8YYDH30EUIZW,49JFVMEQ,,FJ7VHFD6NJL4BNJ4L5,BHYJUK1IEUS,PCU3SMDVZG6SE,LR2UT7V8UXB7N5131FQW,,,2005-10-31 00:00:00,2010-01-10 00:00:00,1980-02-03 00:00:00,,2002-08-05 00:00:00,1965-01-11 00:00:00,2011-07-29 00:00:00,2004-06-11 00:00:00,1996-10-09 00:00:00,2006-09-23 00:00:00,{745CEC6E-90A0-4269-BBA4-FAAA266CE6D2},{03953419-F933-4F7C-9547-B491EE5D4186},{039916DD-971D-4EB8-AB51-DCBD183217CF},{9A4FC0F5-7E09-497A-AA18-970A2D50A52D},{12D2A8DC-13E5-412A-B7AA-579C03ED5B2D},{041C53EB-A6AD-42C8-B5BA-FBBFB06B0182},{A110B24C-BDFB-4D08-95C4-95FDD9AF66B2},{3D942DDC-0FE2-42B7-8B4D-DF725D684B25},{B2097109-C541-43AA-A9F4-E53C2F65ACE8},{CCBE0996-BCFD-4D1B-9FEE-6C669982A4C1}
8,1479924228,1029741906,,2103911485,1385563443,577989620,1755853554,1353254391,824836187,289172676,S92HZ5MDGAOWWN0QSLH26,UFGK4TL02M,Z3J5UX7QG5MGS6O5X7H8SZ,TVRT4K,,RAXIPXF8SDY,,7FQC5EMN9UHL8FNW5JC5,0WIKCA9WTJU4UOOH0E9EBD,YAU6HP,1967-10-13 00:00:00,1965-02-22 00:00:00,2006-05-11 00:00:00,1993-01-09 00:00:00,1980-03-05 00:00:00,1982-01-01 00:00:00,2014-02-08 00:00:00,1967-11-22 00:00:00,2015-06-10 00:00:00,1998-04-19 00:00:00,{85DDC8F3-14E9-4F8E-903E-0D064FCC234B},{E75C1C52-1514-4B74-A931-1F6B86C09371},{7A904EC8-166C-4DE4-AF21-9E6881D37B29},,{4ED61C5F-8C13-4738-BC61-B30965A9CC0A},{88680A24-E14B-459B-A51F-574C0F17C031},{C8BD6AB7-E161-452E-8FF2-1E92BA456AD5},{65E2EF85-8A90-433E-B40D-E125CF1AE742},,{0201FCD8-2751-4DAF-BA02-2BB36A136B77}
9,169264957,222650202,983346081,1052562176,,779608255,97599298,1563746572,129249077,717980968,UXT71I3I0HZ8B,,7PK9D9XLM6IGGVU2BW4O4G1H,JNXHA0OYEW,LVAIV5AWBFX67PB6,YDZ4ZKXF6R1RQ71RKJO,5HXHE00JVZSUN885,ZVQ8S5TYZEQE2RSF25BWVU,K2J7C93V2NZAE6Y2XQAV3Q,BIFC3,1977-06-07 00:00:00,1998-05-13 00:00:00,1998-02-25 00:00:00,1995-06-13 00:00:00,1994-05-16 00:00:00,1978-09-17 00:00:00,1979-07-30 00:00:00,2004-03-23 00:00:00,1962-11-22 00:00:00,1972-02-01 00:00:00,{68269FA4-E217-47C5-AF8E-7A0EC27D2303},{B326240F-9A71-4F4E-A3C3-C4B8382ACA66},{A32D83E3-14AB-41D7-BDE1-14AA8AB421E3},{F3C56AA8-33CB-4CA9-8C11-05AC96431475},,{DAD2FD1D-BE07-4886-827F-C3FE917C1BB4},{D37F87E8-6F92-41F2-8A1F-5B5BC23A783E},{735F040E-7848-4527-9552-BA82E8C41A50},{D9FC05B1-97F3-4359-926C-6BDA7839558E},{3B41BBA7-E1C4-4FB8-ABCE-C48EBC1388C5}
10,1776711849,1663280355,183848009,759584764,523946921,372346126,1822164481,,2081389642,1078406769,HJ5V6FWNT35O006U,LIEQWJC7KIACZ,MXT5GA779AOC1LDO060GAO0W,94OMQESPODMY5ON,QIGKWG3K,G7776IYADTWUKTM7ACBAM20J,PHNXUCJFLRQGP,NK0S67W8Z,IGWOHXXR3QWP9UKEI4Q4,28RA0NR2JYQ33DS7,2005-09-07 00:00:00,2012-06-16 00:00:00,2002-07-22 00:00:00,2008-07-30 00:00:00,2014-01-13 00:00:00,,,,1974-11-30 00:00:00,1968-04-05 00:00:00,{B895A461-13F1-4617-91D1-4FA91B73B2FD},{F80E4B0F-5F1E-4C1E-AE94-DA42B2F94C0F},{230CA2D5-DA1D-4815-AEF4-5EF5AF428F06},,{C66DC9E4-5B53-455D-BC34-15D297F75C7D},{D54F615D-CDDE-41F8-9028-002B181B4405},{C30146EF-06D4-4F59-81D7-52E838C30141},{1ACC4463-A817-4377-99D3-464305C7324D},{E865C714-2BEC-468A-A5F8-4FBE1F087CEF},{E9B679D9-5DDB-4090-A24D-410E02A2C8F5}
